,Cluster_ID,Size,Representative,All_Features
131,528,10,GS1_Q1,"FEDFUNDS_Q1, FEDFUNDS_extreme_low, GS10_Q1, GS10_extreme_low, GS1_Q1..."
55,658,9,S&P PE ratio_zscore_6M,"S&P 500, S&P 500_zscore_12M, S&P 500_zscore_6M, S&P PE ratio, S&P PE ratio_zscore_12M..."
122,384,9,T10YFFM_chg_6M,"AAAFFM_chg_6M, BAAFFM_chg_6M, T10YFFM_chg_6M, T5YFFM_chg_6M, YC_10Y_1Y_chg_6M..."
64,526,9,T10YFFM,"AAAFFM, BAAFFM, T10YFFM, T5YFFM, YC_10Y_1Y..."
5,239,9,IPFINAL_zscore_6M,"IPCONGD, IPCONGD_zscore_12M, IPCONGD_zscore_6M, IPFINAL, IPFINAL_zscore_12M..."
59,429,8,GS5_zscore_12M,"ECT_yields5_inflation_chg_1M, ECT_yields_inflation_chg_1M, GS10, GS10_zscore_12M, GS10_zscore_6M..."
70,642,8,WPSFD49502_zscore_6M,"WPSFD49207, WPSFD49207_zscore_12M, WPSFD49207_zscore_3M, WPSFD49207_zscore_6M, WPSFD49502..."
630,388,8,T10YFFM_chg_3M,"AAAFFM_chg_3M, AAAFFM_zscore_6M, BAAFFM_chg_3M, BAAFFM_zscore_6M, T10YFFM_chg_3M..."
98,527,8,ECT_consumption_income,"ECT_consumption_income, FEDFUNDS_quintile, GS10_quintile, GS1_quintile, GS5_quintile..."
123,382,7,T10YFFM_chg_12M,"AAAFFM_chg_12M, BAAFFM_chg_12M, T10YFFM_chg_12M, T5YFFM_chg_12M, Yield_Curve_10Y_1Y_chg_12M..."
35,493,6,HOUST,"HOUST, HOUSTW, HOUST_quintile, PERMIT, PERMITW..."
256,235,6,IPMANSICS_zscore_6M,"CUMFNS_zscore_12M, CUMFNS_zscore_6M, INDPRO_zscore_12M, INDPRO_zscore_6M, IPMANSICS_zscore_12M..."
259,224,6,IPFINAL_accel_3M,"IPCONGD_accel_3M, IPCONGD_chg_3M, IPFINAL_accel_3M, IPFINAL_chg_3M, IPFPNSS_accel_3M..."
139,531,6,TB3MS_Q5,"FEDFUNDS_Q5, FEDFUNDS_extreme_high, GS1_Q5, GS1_extreme_high, TB3MS_Q5..."
4,234,6,CUMFNS,"CUMFNS, INDPRO, IPDMAT, IPMANSICS, IPMAT..."
573,656,6,S&P div yield_accel_3M,"S&P 500_accel_3M, S&P 500_chg_3M, S&P PE ratio_accel_3M, S&P PE ratio_chg_3M, S&P div yield_accel_3M..."
575,655,6,S&P div yield_accel_6M,"S&P 500_accel_6M, S&P 500_chg_6M, S&P PE ratio_accel_6M, S&P PE ratio_chg_6M, S&P div yield_accel_6M..."
258,176,5,CUMFNS_accel_12M,"CUMFNS_accel_12M, INDPRO_accel_12M, IPDMAT_accel_12M, IPMANSICS_accel_12M, IPMAT_accel_12M"
97,525,5,Real_1Y_Yield,"Real_10Y_Yield, Real_1Y_Yield, Real_3M_Rate, Real_5Y_Yield, Real_Fed_Funds"
